"# 文本key","文本value"
"string","string"
"475550fc985e73bb6d9e36b14e4da04e","Как повезло! <TDName>(Получен сосуд с вином)</>"
"f7fb381bf1a3e5b4226e903b9e4e10de","Как повезло! <TDName>(Получить фармацевтический опыт)</>"
"faab167270b0fbb0c4b05ac4306aeda5","Старайся как следует! В будущем я передам тебе это место."
"211f37512fe6317fad0a043a50a88a56","Моё — значит ваше, хозяин. Чувствуйте себя как дома."
"9232a6ce3e3725509d83771ca8f8c727","Как тебе? Это царство, которое я построил для тебя!"
"17c6bbf14e5ae1c9e0cbaee899443c37","Как тебе сидится на этом месте? <TDName>(Нелюбовь +50)</>"
"0c215f107ef4ad0beb83efab6d38ae54","Ты хоть понимаешь, на чьём месте сидишь?! <TDName>(Нелюбовь +20)</>"
"138becc5219d5220826025573d0080a7","Отлично! Ты так быстро освоил основы боевых искусств. Продолжай тренироваться!"
"3241afa4cf5ac3453759bbc020aa9dec","Ты уже освоил боевые техники. Продолжай практиковаться, чтобы достичь совершенства!"
"ab64b34d0de5cb203ec0cdea707e0800","Приветствую, Лидер Альянса!"
"560515c562945ebbb3ba95e9cd5be9cb","Лидер Альянса, да пребудет с вами покой!"
"4bcd80464b6b3252640bb80ef8f9e995","Здравствуйте, Лидер Альянса~"
"3f415a9ae530510cf35c7cf40e725b5d","Моё почтение, Лидер Альянса!"
"36e36a4d9828f29fe820c403eefe2edd","Негодяй! Все сюда, помогите!!!"
"5627d8bf70bf5ff9c536d91c6cb7f113","Позволь мне помочь тебе!"
"dd339d4aafdceff460379bdb3023ab48","Остановитесь! Все вместе!"
"f0abb22f9477067a79771a3a92f9b71f","Ещё одна жирная овечка! Ха-ха!"
"585eba51ba357b7377fa3532d3ee69dc","Стоять! Плати за проход!"
"f59565d49fae33839d77ef61e590bef2","Проклятые бандиты!"
"6765ebd421c502ab0b0d74626f0f0b11","Мы должны избавиться от этих бандитов!"
"a39416a180ce0a9878c8ad499c501902","Бандиты! Я заставлю вас заплатить своей кровью!"
"8f81d8d6b7e0b6d8a9ca75e28a08ca46","Все вместе! Защитим деревню!"
"a9ff3e5b90ecde184318cfab24bbe1fa","Разбойники действительно заслуживают смерти!"
"10cd5fd16508a84019a556345c32582f","Вот этот злодей! Я его спас, а он теперь пытается забрать мои вещи! Какая подлость!"
"a6c4e1b64e20f2bc32be99c0bfff53a7","Так обращаться с отцом? Это просто ужасно!"
"3d31cacd64b4b7da2d35dcdbb84e6b9f","С первого взгляда видно, что он не хороший человек!"
"a8ef4f763744218a7401d23a98fe82bf","Вот этот злодей! Я его спас, а он теперь хочет забрать мои вещи и даже дом! Это просто немыслимо, хуже зверя!"
"1b3d0b6e8b11fb6ffa99161ec8038b7d","Лёгкие деньги, ха-ха."
"2d4e75968f111c5a83424ce865640b8a","Я потерял способность двигаться, и {0}{1} воспользовался этим, чтобы запереть меня в клетке."
"83dfaef57074267b8799270c43214dd8","Это священная территория секты! Не смей входить без разрешения!"
"2051940bccd51f361f7b8074d2efc53f","Вам нельзя сюда заходить. Немедленно уходите!"
"e933dbbb4d07a2f9644a71d4503a74ef","Территория секты! Ни шагу дальше!"
"8f3706a28d2c23ece2f80ed1a087f292","Я уже дважды предупреждал вас! Уходите немедленно!"
"0ae18c488626bb866d95362376b48460","Если вы не уйдёте, я буду вынужден принять меры!"
"a0571e161aa09966d52112be5ff5b2e6","Почему ты всё ещё здесь?! Это последнее предупреждение!"
"f644e7149b069591c6561bd1c93eed66","Я уже вас предупреждал! Теперь вы арестованы. Это будет небольшой урок, вас выпустят через некоторое время."
"37057fa24c42f247cc22858c37d94a82","Ладно, теперь ты можешь уйти. Поторопись убраться отсюда, иначе тебя снова бросят в клетку!"
"9eafb3b1c6da299cb2f923894678718e","Как ты посмел разрушить знамя моей секты?!"
"77084274bcc2d3e769729331921f7846","Стой!!!"
"45f9249349c84f8fd81dc5606b5a7353","Откуда взялся этот воришка?! Стой!"
"d4624cd8b7a310ffddede5de0312ad2d","Все вместе! Защитим нашу секту!"
"b7fe22c34563c38ddd6c0ca7b4e46346","Добрый день, хозяин!"
"422757e44dda00764bfa6b39bfca0ef4","Здравствуй, Наставник~"
"2a16a90ff0212fb0bc3b06b775eb6406","Наставник, да пребудет с вами покой~"
"15c85a17a6d7bb949be26a46a196ac6b","Моё почтение, Наставник!"
"4388b513685313ae5edd9c8004e94ccf","Не брызгайся!"
"731cd5b62e42fda4e926a4884ee1261f","Почему ты такой непослушный?! Всё вокруг залито, одежда промокла. Прекрати!"
"72e1735d987763251b80bab427d5974d","Отстань! Даже если одежда промокнет, я её не сниму!!"
"6ffe67cb036ca95d70fca7c51e27f340","Хорошо, как раз приму ванну, ха-ха."
"b893d7b3e376bd55b57cb531be730651","Хватит лить! Замёрзну же насмерть!"
"7be067377115078c993e3c24b7b94d40","Жизнь коротка, нужно наслаждаться моментом! Кувшин вина — и я свободен от забот!"
"8b73db4d56a73866a3005759f69ad8d6","Мир жесток, но один лишь кувшин вина способен развеять все суетные тревоги!"
"5e746ddda051e6a7fd2fc20ee7d9fa9c","Жизнь непостоянна, так что я наслаждаюсь моментом. И я выпью за это!"
"4a52c89f9f664586232207ec3c41bf60","Жизнь коротка, радуйся моменту, не упускай счастье!"
"e13121eca6e76e6edb6d9c12c8a152bc","Смерть предопределена, богатство не для меня. Радуйся жизни и не упускай молодость."
"36ee0f4ee01e0d6edc96703f27405a24","Если ты сможешь его спасти, это будет прекрасно."
"9b614926ca77e48be0c89b00cac9661c","Этот человек сделал слишком много зла, его уже не спасти."
"66e5c2a751f629ece593e2e1f14d82f6","Стой! Куда ты его ведёшь?!"
"9503763bc7f4cbf9329b8ff8333d76c0","Кто творит зло, тот погибает сам. Ха, умереть ему к лучшему."
"8e965c8537ce6e718ad44d90b820f2bc","Муженёк, что ты делаешь там на корточках?"
"25628ce66b7e0435a100361b08d314c1","Жёнушка, что ты делаешь там на корточках?"
"f4e2364e1895db770a086ee9a4ff554c","Дитя, почему ты там прячешься?"
"057e1ba2392e7b88107200a586a17739","Дитя, тебе не стоит так себя вести."
"e8a8b384d475f64d977245a3db2fe23a","Отец, что ты делаешь там на корточках?"
"e9ea986d1f974da57cb61738d55c46d0","Отец, тебе не стоит так себя вести!"
"57a3f32694ec1b94eb40f5f6ca5bc7d2","Мама, что ты делаешь там, присев?"
"4b53fb881cbf7249786c67117d68ea93","Мама, не сиди там так больше."
"767b01391332e02ab52bfddeed790e53","Быстрее поднимайся, чтобы никто этого не увидел."
"2dddc49655520d383c56256712fdc4e0","Господин, вы нашли врага?"
"2448fd93a70804b3f187041cddd206fa","Господин, что вы делаете?"
"7f92776f87ba714a7ba56a004838982e","Хм? Вы отрабатываете искусство сокрытия?"
"222229a16deafee45e26f983b50121d1","Что ты там делаешь, прячась?"
"1b6b77170d786d38ab1da6827c4d8838","Прячешься как вор! Чем ты там занимаешься?!"
"5db91a8b6709c533c4904b39378dcb16","Странно, вроде был шум, но почему никого нет?"
"8211564b536a4eb6aa5b4cca1b798874","Что ты делаешь?! Отпусти меня!"
"999ddc59386ae5f88bab0b7566294c2b","Ты что, с ума сошёл?! Что ты собираешься со мной сделать?!"
"0631d2069e55c752099a17b572c3eaf9","Отпусти меня~~~ Я сдаюсь!"
"d8bcdf512eb502a837d3cb7b91bd7b46","Пощади меня... я больше так не буду."
"5f9fbc8479c98dc0a0bca4b765bd766d","Ох, как горячо, как горячо! Воды! Где тут вода?!"
"735bbbe2e39bc9a3cd50785c9129c1e1","Ох, как холодно, как холодно! Надо найти место, чтобы согреться."
"237c929808d16ac87f107e404a63030f","Почему в последнее время мне так не везёт?"
"a117aa87cea18ae6106fedc3356282b0","Добрые господа, помогите бедному человеку, я уже три дня ничего не ел."
"303bf42e7b700a08fef3d41c7bb29128","В Восточной столице жил Хуан Бяо Сань,\\nЕл с изыском и одевался не в хлам.\\nВсю жизнь он ростовщичеством занимался,\\nДолги за полгода втрое возвращались.\\nВ своём логове кредиты раздавал,\\nКлиентов встречал, а я их провожал.\\nБез отсрочек долг строго взыскивал он,\\nУбивал должников — и я был подручным при нём.\\nЗолота скопил до самых небес,\\nНо кончил без гроша, остался ни с чем.\\nЛотос цветёт, а танец идёт,\\nЖизнь унесла всё, что он берег."
"391b9b097854944833a4fe94cc07d9c9","Посмотрите, не являются ли мои мать и отец родственниками. Если у вас есть деньги, идите и уважайте других. \\nКакая польза от грудного вскармливания в течение трёх лет \\nТебе придется разделить это, когда женишься? \\nМоя жена будет есть хорошее вино и мясо, \\nЯ не буду беспокоиться о том, что мои мать и отец проголодаются и сломают свои мышцы. \\nЯ никогда не видел миску с рисом, пока был жив.\\nКто посетит могилу после моей смерти? \\nЛотос падает, лотос падает."
"40e3038a73d42ce538654b46028f8e99","Посмотрите, не родственники ли братья,\\nТри гнезда и два дома - это несправедливо. \\nСоотечественники тоже должны между собой поделить,\\nЕсли больше и меньше, надо спорить. \\nКогда у тебя есть вино, ты ешь только с другими, \\nТы — враг своей плоти и крови. \\nЛотос падает, лотос падает."
"b545cceab4633a7bf1aaa1217db93d59","Послушайте, моя жена мне не родственница.\\nТри свахи и шесть свидетельств ведут к браку. \\nОна не любила бедность и любила богатую дочь семьи Доу.\\nОна на полпути ушла из Чжу Майчена. \\nНа западной стороне стены живет вдова по имени Лю.\\nОна останется и выйдет замуж, пока ей не исполнится пятьдесят. \\nДавайте поговорим о нескольких вещах между мужем и женой,\\nно вы не можете отказаться от всего. \\nЛотос падает, лотос падает."
"7446f4c28261cb4c070bc166df115f73","Посмотрите, друзья — не родственники, они в беспорядке едят вино и едят мясо. \\nСлова в его устах сладки, как мёд,\\nТы не сможешь подойти к двери после обмана с деньгами. \\nКак только не будет денег и власти,\\nОн передумает, если будет безжалостен. \\nСунь Пан лишился ума.\\nЕсть ли в Таоюане кто-нибудь, кто является присяжным праведником? \\nЛотос падает, лотос падает."
"2dd2125073d38d6ed40dcff05720b0c6","Увы. В последнее время дела идут так туго."
"d4415667a4c7f6b1b6e4c21f7ae1a2b0","Эту дорогу я проложил своим сапогом! Этот пиломатериал я вырастил из побега! Это очень популярная мантра в наши дни."
"c7701d49d6c2c6909ee6afa6bf0b90c0","Говорят, у нас в лесах есть Летающая Мышь.\\nОн бегает по крышам и стенам, показывая свою силу,\\nПервый в мире, непревзойдённый!\\nУкрал национальное сокровище и сбежал на юг,\\nИ до сих пор никто не знает, где он."
"eb2a0a0d3ef63d4b2e4254cb3eda4296","Может, похитить женщину и сделать её своей женой? Ха-ха!"
"64115d591543faa933afcd821fc2aed5","Может быть похитить кого-нибудь... для разнообразия..."
"ae22c4a1e0029fc985ade2cae5f949da","В последнее время дела идут плохо."
"4647d3ce03a07e9dbb8f128196f5d9e7","Может, мне найти какое-нибудь занятие?"
"1ba327f93f1bae424ffcae5ac46b9b91","Ничего же не случится, если я отдохну ещё пару дней."
"c30f1e3553e8003b3083ccaad6b7430d","Настоящий мужчина не должен заниматься мелкими, ничтожными делами."
"b4248ef08c9715aa9d4bbd52509fd640","Пашешь землю в полдень,\\nПот капает в почву.\\nКто бы знал, что рис на столе\\nДостаётся с таким трудом."
"5439d593090e3ad9dda214cc3e7c101e","Весной сеешь одно зёрнышко,\\nОсенью собираешь тысячи.\\nЧетыре моря, четыре моря... что там дальше?"
"f90a1cc3f5e50181b8e0ebdde3a42c82","Надеюсь, урожай будет хорошим."
"c3b4b2350f6f825440d048861b135d62","Буду ли я беден и устал, когда состарюсь?"
"0ae67848bcc5fbc695452fc5b05657c9","Пора идти рубить дрова. Интересно, сколько они сейчас стоят?"
"dfc02cb5044febc6ab5c7b68d3a955a9","Рыболов, дровосек, пахарь, учёный — у каждого своё счастье."
"e25920ab0d6aaf658ef9747ab610dd26","Как же он надоел! Снова этот парень, просто бельмо на глазу."
"d9a58f12a6337200ad560030b31e54a8","Опять я на него наткнулся, вот неповезло."
"995900203167b1fa719135ff1f022da0","Надоедливый тип! Почему он всё время мельтешит у меня перед глазами?"
"f2ff150fc055429cb0e9b77dadc4d521","Дорогой, мы так давно не виделись. Как ты? Эти вещи пригодятся тебе в странствиях по миру."
"a1e6c25a2385b41eab1e847d96344cb1","Дорогой, могу ли я тебе чем-то помочь?"
"4fdf7f67ad77730b2a89500b93b57ba0","Если у тебя будут проблемы, всегда можешь обратиться ко мне. Мы с тобой одно целое."
"16d522c8bf8d758e08f56c2bbc0ba2fe","Я давно тебя не видел и немного скучаю по тебе. Это вещи, которые вы можете использовать, путешествуя по миру."
"bd10cd0fa472d5763ff0afbaa41540e8","Дитя, если не сможешь справиться с чем-то, приходи ко мне."
"2c70d2c2be7d1ce9f582a74be45c374b","Дитя, как у тебя дела в последнее время? Возьми эти вещи, они пригодятся в странствиях."
"51e17e056167c79dd66177f43684533a","Возвращайся домой, если устанешь. Возьми эти вещи, они пригодятся тебе в дороге."
"5ddc013bfb45f24027844148118b0a49","Где ты был в последнее время?"
"b7324609c74cec14a556163cc65e568f","Что интересного произошло в последнее время? Расскажи мне!"
"c6281d4d4dac8a2c754f86dac26b82e7","Я хочу быть таким, как ты, в будущем."
"064cf8667462d670ac6515c693e90618","Названный брат, как твои дела в последнее время? Нужна ли помощь? Возьми эти травы, они пригодятся в странствиях."
"ea16049f14fcf3f2d6252214989b7068","Названная сестра, давно не виделись. Как у тебя дела? Возьми эти травы, они пригодятся в странствиях."
"f28c292d6a398762097500fcac3626bd","Как у тебя дела в последнее время?"
"d9593206fcc21294b6531017bfad83af","Горы и реки встречаются снова. И мы встретились вновь."
"0816a5c78ef2001d337aa827072b9c11","Как здорово, что мы встретились!"
"0f932e1ed314948eb89f34434dd1b7f6","Дорогой, ты проделал такой путь ради меня? Это так мило. Это для тебя, возьми с собой в дорогу."
"a1106f08d21f514b877677eb34094fa0","Дорогой, что-то случилось? Нужна ли моя помощь?"
"dfdedf50a2c72c2b58e802845e7d1acf","Давно не виделись, я скучал по тебе. Это для тебя, возьми с собой в дорогу."
"2ecf2b2542ce3875e242270ac8103f9c","Дитя моё, возвращайся домой, если устанешь. Я скучаю по тебе. Возьми эти вещи, я собрала их для тебя."
"438d3f412e7f96fade65b3920520aa34","Дитя моё, кажется, ты похудел. Как давно мы не виделись? Возьми эти вещи, я собрала их для тебя."
"0e79c48a179cfe9812ff904d63aad01b","Возвращайся домой, когда устанешь. Я приготовлю твою любимую еду."
"a824d19208e862dc93018266da1a3def","Как давно ты меня не навещал! Останься со мной подольше!"
"a54fe1c9af89f7f2f3d64d5031153531","Я очень рад видеть тебя!"
"7414f5985bef63b0b2799f32e566c8b6","Опять этот тип! Скорее бежим!"
"3167d0b4938e1c09a086063b6def41b1","Черт возьми, ты действительно преследовал меня здесь!»"
"f6cfe7184e23246618f2584ed9e3e983","Проклятье, они всё ещё преследуют меня! Ну что ж, придётся сразиться!"
"88b6441c5b1ee842565d6f6654b863e6","Почему ты спишь в одиночестве? Не хочешь лечь вместе?"
"231638fd3ab1b11280b1859e4b40ea84","Такой чудесный вечер... Почему ты проводишь его в одиночестве, а не со мной?"
"1932db1286805c06ebc3b6d3fa72dcd8","Прошлой ночью я не видела снов, всё думала о тебе. Скажи, хочешь ли ты разделить со мной грёзы?"
"27a0f13c85b8ea0d38377490756aab3f","Как бурлили волны морей, так и сейчас мои чувства стремятся за облаками к горам Ушань."
"5e4a8f93b38033ea71b6478265fa2e71","Любовь моя, хочешь ли ты лечь спать вместе?"
"9034178a027d699a907dcf86f313afa0","Любовь моя, тебя сон сморил? Почему ты спишь в одиночестве, а не рядом со мной?"
"cf9b3cbafdbe6e5fccd0d6a44760cdae","Такой прекрасный вечер, Наставник, зачем вы тратите его в одиночестве? Может быть, лучше вместе..."
"f72b11ada855db97fa4751bd2912de76","Говоря это, она слегка потянула за ленту своих одежд..."
"aac2a71e54baa1a0e9d3b5018588b3f0","[Отказ] Что ты делаешь?!"
"0932301e66796684e2689c7af021fdaa","Убирайся немедленно! Какая наглость!"
"03b593d5a749d4da27570e50df256842","Ты... Хм! Совсем не понимаешь намёков!"
"33ffdc9916fde6552fc84a905a80497a","Женщина сердито топнула ногой и с грохотом захлопнула дверь."
"87e5f0dc30c91af6305c44408a99017e","Хмпф! Дурак! Бошка дубовая!"
"963134775d95141f7c74313921a57558","Как зачерствели люди в наше время..."
"d8a5b40740c5b221cdeab01a5c6d9b61","[Принять] Хе-хе, я всё понял."
"4eb600547c40d3c05f62a1c054deb88c","Вы абсолютно правы, молодость не должна быть потрачена впустую!"
"e85e3026a18da3f5625c6f7ea64022c2","Мм... Наставник..."
"3570e7b66b86ba3174264b96dfe18a18","Говоря это, она начала снимать свои одежды..."
"8c0bec3d2765e5c3671c3d5771b48625","Когда встречаются золотой ветер и капли нефритовой росы, это затмевает всё земное."
"b15a492e57367ad1c0f967d59396bbde","Спокойной ночи вместе"
"c3bae8cf44e50324666469b37566b57b","Наставник, в будущем не забывайте заботиться обо мне."
"bce98e6385b9161428e3889a074ba3e8","Чувствую себя обновлённым"
"f22b93db5a0c3d5cd89b0be92d2356f8","Такой прекрасный вечер, Глава, зачем проводить его в одиночестве? Может, лучше вместе..."
"8a9f3f25f070574901156c1c226b98ad","Ты?! Убирайся, не порти мне настроение!"
"ef2d899e2240c3519876a928d397a4ec","Ты ещё смеешь появляться передо мной?! Прочь, прочь, прочь!"
"241d6d5e5f9f125ebe32762f95bc7f12","Я тебя уже предупреждал! Не хочешь по-хорошему — будет по-плохому! Получай!"
"55cd00ac19c12abe7fafd1a56d5fa3d1","Хм, ещё смеешь появляться передо мной? Ты явно ищешь смерти!"
"00051129c770b40d09ad614912340007","О небеса! Неужели в этом мире есть столь несчастные люди!"
"77df9139b1a8620d8220ccc9cfe23b56","Будьте великодушны, господин, подайте милостыню!"
"c2edca6d19fea93ba5c54a714582a90f","Друг, не волнуйся, я не брошу тебя в беде!"
"cb07e43ce838b344d8d4babe8f180a35","Принять доброту"
"11bbde0d8531207e70f5ddfef82b36ab","Эх... Почему в этом мире столько страданий?"
"c1024e7c047159bbdf46c532f447d9e0","Вежливо отказываюсь"
"492fda2bf579cca13d473a1660faec2d","Молодой герой, у тебя благородный дух! Кажется, я недооценил тебя. Ха-ха! Мы ещё встретимся!"
"8a6128c286002682efdddc8e34ea1e2a","Пшёл вон! Катись куда подальше!"
"47bd59e32b2d99368ef8d08836d73115","Ухожу, ухожу! Добро не ценишь, пёс ты неблагодарный!"
"540a511585d9df007173f168655725fe","Ограбить меня?! Я не прощу тебе этого!"
"684f6822d640a7cf58551efa97f9eba7","Я знаю некоторые секреты, но мои услуги стоят недёшево."
"b57224ba144561be892012efe4cfc958","Как достичь совершенства в «Кузнечном мастерстве»?"
"45aa1998d65702c5480591ae02b55561","Лучше всех в «Кузнечном мастерстве» разбирается семья Оу. Их местоположение держится в секрете, но я расскажу за 1000 медных монет. Это честная сделка, ха-ха!"
"4fac1ca63fb4975c58f5b18beba9b9f4","Я покупаю эту информацию."
"f039969c6602d1f6c0229acfd6f7d616","Приятно сотрудничать! Заходи ещё, ха-ха!"
"bb83253a071375d604e5bc6edcb39ef4","Придётся отказать, не хватает монет."
"ad73a73c2395add1d9a0ef4d45638a83","Сейчас неподходящее время, приходи позже."
"694fb08dafcb15d6c2f143e059966bf9","Хорошо, до встречи."
"da56e3bd0e3aa8ccca3ba99295c9b0f3","Как достичь совершенства в «Создании предметов»?"
"bb99bd7148ece80be4d610b46a889620","Лучше всех в «Создании предметов» разбирается семья Мо. Их местоположение держится в секрете, но я расскажу за 1000 медных монет. Это честная сделка, ха-ха!"
"b4aedd1b99d7ce01e555143275846449","Как достичь совершенства в «Медицинском искусстве»?"
"e93af408fd7738abfe5632a360f98097","Лучше всех в «Медицинском искусстве» разбирается семья Цзи. Их местоположение держится в секрете, но я расскажу за 1000 медных монет. Это честная сделка, ха-ха!"
"d07e3e9627b38adf755a353781904a72","Как достичь совершенства в «Ткачестве»?"
"7be20f9209098efa1f1cc39c3c41919d","Семья Ху могла бы спросить о Ткачество, но их местонахождение — хорошо охраняемый секрет. 1000 монет, справедливо?"
"4ef5d8bcec57c000f4865d6ec0d3c719","Как достичь совершенства в «Музыкальном искусстве»?"
"912ad86a3bd2fd94577ab12086fc5512","Лучше всех в «Музыкальном искусстве» разбирается семья Ши. Их местоположение держится в секрете, но я расскажу за 1000 медных монет. Это честная сделка, ха-ха!"
"e51fcc0fbb76961c6c78d46a47e4ce6d","Как достичь совершенства в «Скрытности»?"
"7b3e6f4e8b34e0de242c55b6b0bc5855","Лучше всех в «Скрытности» разбирается семья Ши. Их местоположение держится в секрете, но я расскажу за 1000 медных монет. Это честная сделка, ха-ха!"
"eea241c5ddb64051262285cdc436d94b","Как достичь совершенства в «Геомантии»?"
"d69b93108fe9140cacec55fa818ccc7e","Лучше всех в «Геомантии» разбирается семья Лю. Их местоположение держится в секрете, но я расскажу за 1000 медных монет. Это честная сделка, ха-ха!"
"0b764f9ca0d9aaee910790241af3b66c","Как достичь совершенства в «Попрошайничестве»?"
"2c3877b4591de34ae12b57226932a084","Лучше всех в «Попрошайничестве» разбирается семья Су. Их местоположение держится в секрете, но я расскажу за 1000 медных монет. Это честная сделка, ха-ха!"
"bd5298834a8789646922c5533f10f40a","Как достичь совершенства в «Строительстве»?"
"6589e5acccf4e8a14b9652e0d91292a0","Лучше всех в «Строительстве» разбирается семья Гуншу. Их местоположение держится в секрете, но я расскажу за 1000 медных монет. Это честная сделка, ха-ха!"
"a0951905552b9b49860041e986bcef27","Вы, великий воин, обладаете невероятной силой! Я знаю несколько опасных мест, где обитают жуткие создания. Хватит ли у вас смелости испытать себя?"
"58f80b37aca9790bfbd7527861ebcd8c","Хочу испытать себя, расскажи, где находятся эти места."
"78ad6899304786ed908140dd29d9f64f","[Озеро Ледяного Холода] невероятно холодное. [Огненный Вулкан] невыносимо горячий. [Туманные Утёсы] покрыты ядовитыми облаками. Эти места крайне опасны, будьте осторожны, великий воин!"
"597a204eea2d09adfd7346622aabd43f","Испытание [Озера Ледяного Холода]"
"192edbf86ec69d255ef5171796baeb8f","Берегите себя!"
"16cb3703534c4be36d9d734f20f48f61","Испытание [Огненным Вулканом]"
"db2764c76b067a2393df35b97f4d3b83","Испытание [Туманных Утёсов]"
"7612cd3c4f863b916a59821578e83d10","Сейчас мне это неинтересно."
"21b1e477d7544a1846bb24f1f70ff9ef","Благодетель, спасибо, что спасли меня. Я вижу, ваши меридианы сильно повреждены. Возьмите эти драгоценные Пилюли Очищения."
"17ba66a3c114cb59535e74d6c289dd9e","Получено 5 Пилюли Очищения."
"a0aff3792d4e9546a5f32dd03f7ef674","Спасибо."
"c9790b28b9341260940b710c96caf2ea","Вы спасли мне жизнь. Как бы я ни старалась отблагодарить вас, этого всё равно будет недостаточно."
"ec22f4aa3a0f5bba502dd44627a19914","Пожалуйста, попробуйте их."
"6ca3028115ac6af5941debf29c073162","Мои меридианы сильно повреждены. {0}{1} подарила мне 5 Пилюль Очищения."
